Label Code,Artist,Title,Label,Format,Released,Date Added
AOTU 003,Ebola Virus,No Redemption,Art Of The Underground,"7"", EP",0,2015-03-26 11:10:11
AOTU 50,Exit Strategy (3),Art Of The Underground Single Series Volume: 23,Art Of The Underground,"7"", Single",0,2014-01-28 15:31:48
ATCO SD 33-131,Bobby Darin,The Bobby Darin Story - Mack The Knife,Atco Records,"LP, Comp, RE",0,2014-01-21 22:08:31
DT 357,Nat King Cole,Unforgettable,Capitol Records,"LP, Album, RE, RP",0,2014-01-16 10:45:15
ST-1942,Bobby Darin,18 Yellow Roses,Capitol Records,"LP, Comp",0,2014-01-21 22:09:41
CAROL 1705,The Smashing Pumpkins,Gish,Caroline Records,"LP, Album, RE, RM",0,2014-01-26 23:33:38
"CAROL 1740 1, 0170 4 61740 1 5",The Smashing Pumpkins,Siamese Dream,"Caroline Records, Virgin","2xLP, Album, RP, Gat",0,2011-12-20 12:09:52
CB-14,Various,In The Dancing Mood,"Columbia Record Club, Columbia","LP, Album, Ltd",0,2014-01-23 09:36:14
"dischord fifteen, No FIFTEEN",Minor Threat,Salad Days,"Dischord Records, Dischord Records","7"", RP",0,2014-01-28 15:13:34
Lookout! Records #3,Operation Ivy,Hectic E.P.,Lookout! Records,"7"", EP, RE",0,2014-01-28 15:09:53
894564,Basil Rathbone with Nigel Bruce,Sherlock Holmes Tales From Baker Street,Murray Hill Records,3xLP + Box,0,2014-01-23 10:35:45
AFL1-3019,Toshiko Akiyoshi-Lew Tabackin Big Band,Kogun,RCA Victor,"LP, Album, RE",0,2014-01-26 22:55:27
"FS 1025, 1025",Frank Sinatra,Frank Sinatra's Greatest Hits,"Reprise Records, Reprise Records","LP, Comp, RE",0,2014-01-26 23:26:46
RUSLP 8223,Bad Brains,Bad Brains,ROIR (Reachout International Records),"LP, Album",0,2014-01-10 17:27:59
SST 065,Bad Brains,I Against I,SST Records,"LP, Album, RP",0,2014-01-10 17:31:39
SF-8200,David Haines (3) With Orchestre National De L'Opéra De Paris,Warsaw Concerto / Tschaikowsky's Nutcracker Suite And Other Popular Classical Themes,Stereo-Fidelity,"LP, Album",0,2014-01-21 12:39:58
G 401,Various,Giants Of Jazz,American Recording Society,"LP, Comp",1956,2014-01-23 09:36:50
MG V-4003,Ella Fitzgerald And Louis Armstrong,Ella And Louis,Verve Records,"LP, Album, Mono",1956,2013-12-12 14:26:28
"CLP-3003, CLP 3003",Everly Brothers,The Everly Brothers,"Cadence (2), Cadence (2)","LP, Album, Mono",1958,2014-01-05 10:52:45
MG-20288,Griff Williams And His Society Orchestra,America's Most Danceable Music,Mercury,"LP, Mono",1958,2014-01-23 08:04:11
LPM-1972,Harry Belafonte,Belafonte Sings The Blues,RCA Victor,"LP, Album, Mono",1958,2014-01-11 10:20:57
CS 8163,Miles Davis,Kind Of Blue,Columbia,"LP, Album",1959,2014-07-07 18:34:19
"CST 144, 144",The Ink Spots,The Ink Spots' Greatest Hits,"Crown Records (2), Crown Records (2)","LP, Comp",1959,2014-01-16 14:27:01
CX-148,Pearl Bailey with Margie Anderson,Singing & Swinging,Coronet Records,"LP, Album, Mono",1960,2014-01-11 11:03:41
CST 190,Conte Candoli All Stars,Little Band Big Jazz,Crown Records (2),"LP, Red",1960,2014-01-21 22:19:04
"No. 7002, P 7002",Chubby Checker,For Twisters Only,"Parkway, Parkway","LP, Album",1960,2014-01-14 19:34:36
MG VS-64041,Ella Fitzgerald,Mack The Knife - Ella In Berlin,Verve Records,"LP, Album",1960,2014-01-16 14:22:59
"MG VS-64041, V6-4041",Ella Fitzgerald,Mack The Knife - Ella In Berlin,"Verve Records, Verve Records",LP,1960,2014-01-16 14:20:33
WS 1428,"Ray Eberle, Tex Beneke, The Modernaires, Paula Kelly - Glenn Miller And His Orchestra",Live Concert,Warner Bros. Records,"LP, Album",1961,2014-01-24 08:18:06
ST 1793,Nat King Cole,Ramblin' Rose,Capitol Records,"LP, Album",1962,2011-03-17 07:31:42
ABC-480,Ray Charles,Sweet And Sour Tears,ABC-Paramount,"LP, Mono",1964,2014-01-15 09:22:10
CS 8963,Aretha Franklin,Unforgettable - A Tribute To Dinah Washington,Columbia,"LP, Album",1964,2014-01-05 10:50:46
MS-500,Ella Fitzgerald,Ella Fitzgerald,Metro Records,LP,1965,2011-05-21 19:51:51
MOTOWN 1075,The Supremes,Back In My Arms Again / Whisper You Love Me Boy,Motown,"7"", Single",1965,2014-01-26 23:51:27
SPC-3046,Nat King Cole,Love Is A Many Splendored Thing,Pickwick/33 Records,"LP, Comp",1966,2014-01-16 10:46:09
SD 8176,Aretha Franklin,Lady Soul,Atlantic,"LP, Album",1968,2014-01-16 17:32:56
GS-1419,The Platters,Only You,Guest Star,"LP, Album",1968,2014-01-23 21:55:03
"MS672, MS 672",Diana Ross & The Supremes,"Sing And Perform ""Funny Girl""","Motown, Motown","LP, Album, Gat",1968,2014-01-26 23:09:02
SPC-3187,Nat King Cole With Nelson Riddle And His Orchestra,The Piano Soul Of Nat King Cole,Pickwick/33 Records,"LP, Album, RE",1968,2014-01-16 10:43:32
"VOLT S-419, S 419, VOLT 419",Otis Redding,The Dock Of The Bay,"Volt, Volt, Volt","LP, Album",1968,2014-01-23 21:54:11
SD 8149,Flip Wilson,Cowboys & Colored People,Atlantic,"LP, Album, RE",1969,2014-01-27 15:15:03
DF-505,Nat King Cole,A Blossom Fell,Capitol Records,"LP, Comp, RE",1970,2014-01-14 19:30:21
DL 75253,Loretta Lynn,Coal Miner's Daughter,Decca,"LP, Album",1970,2014-01-26 22:36:55
DXSA 7206,Andrew Lloyd Webber And Tim Rice,Jesus Christ Superstar - A Rock Opera,Decca,"2xLP, Album, Gat",1970,2014-01-23 10:19:14
85 686 IT,Bill Withers,Just As I Am,"A&M Records, Sussex","LP, Album",1971,2013-12-06 11:43:14
SD 1580,Duke Ellington,New Orleans Suite,Atlantic,"LP, Album, Gat",1971,2011-04-18 08:11:52
SLB-6803,Nat King Cole,The Greatest Of Nat King Cole,Capitol Special Markets,"2xLP, Comp",1972,2014-01-16 10:42:55
KE 31607,Johnny Nash,I Can See Clearly Now,Epic,"LP, Album",1972,2014-01-23 21:44:15
MLPS-9202,Various,The Harder They Come (Soundtrack),Mango,LP,1972,2013-12-06 11:40:04
"1SE-34 OC, none",Various,Grease - The Original Broadway Cast Album,"MGM Records, Lion Records (4)","LP, Album",1972,2014-01-23 09:21:41
KC 32258,Johnny Mathis,Killing Me Softly With Her Song,Columbia,"LP, Album",1973,2014-01-21 21:41:57
S 737L,Gladys Knight And The Pips,Neither One Of Us,Soul,"LP, Album, Emb",1973,2015-06-30 17:55:19
SD 8295,Aretha Franklin,Aretha's Greatest Hits,Atlantic,"LP, Comp, RE",1974,2014-01-22 20:27:41
"BR-3000, 3000",Liberace,Liberace Sends You Love,"Brookville Records, Brookville Records",3xLP,1974,2014-01-21 20:57:56
SW-3421,"John Lennon, John Lennon, The Plastic Ono Band",Shaved Fish,Apple Records,"LP, Comp",1975,2014-01-23 21:14:27
"CR 9005, CR-9005",Ray Charles,Renaissance,"Crossover Records (3), Crossover Records (3)","LP, Album",1975,2014-01-15 09:23:12
MC 25671,George Duke,"I Love The Blues, She Heard My Cry",MPS Records,"LP, Album",1975,2014-01-22 12:43:19
SD 18176,Aretha Franklin,Sparkle,Atlantic,"LP, Album, MO",1976,2014-01-16 17:30:48
"SMAS 2653, SMAS-2653, 2653",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Capitol Records, Capitol Records, Capitol Records","LP, Album, RE, Gat",1976,2014-01-11 10:57:52
M6-867S1,Commodores,Hot On The Tracks,Motown,"LP, Album",1976,2014-01-21 22:25:46
SS 2-201,Led Zeppelin,The Soundtrack From The Film The Song Remains The Same,Swan Song,"2xLP, Album",1976,2014-01-26 22:53:10
2T-541,"John Williams (4), The London Symphony Orchestra",Star Wars,20th Century Records,"2xLP, Album, Gat",1977,2011-03-17 07:38:29
SP 4643,Nazareth (2),Hot Tracks,A&M Records,"LP, Comp",1977,2014-01-23 21:45:50
"NBLP 7078, NBLP 7078-2",Donna Summer,Once Upon A Time...,"Casablanca Record And Filmworks, Casablanca Records","2xLP, Album",1977,2014-01-26 23:45:24
M9-894A2,Commodores,Live!,Motown,"2xLP, Album",1977,2014-01-21 22:21:38
SD 19209,Chic,C'est Chic,Atlantic,"LP, Album, MO",1978,2014-06-27 18:27:34
